landslide,slope,aspect,elevation,curvature,twi,rainfall,ndvi,soil_type,lithology,lulc,dist_roads,dist_streams,dist_faults
0,26.16,90.33,1126.0,-0.311,5.674,2087.3,0.761,Cambisols,Shale,Forest,1088.61,240.96,7.71
0,40.51,202.07,1832.0,-2.043,5.564,2301.9,0.99,Cambisols,Quartzite,Forest,739.78,287.3,3722.07
0,54.54,163.6,1514.0,-0.666,5.683,2200.5,0.636,Leptosols,Phyllite,Scrub,4028.7,308.26,8757.09
0,13.7,185.13,2728.0,0.282,4.247,1529.6,0.646,Cambisols,Granite,Grassland,342.86,1035.06,1175.23
1,32.83,81.17,494.0,-1.307,5.61,2429.7,0.687,Regosols,Limestone,Forest,193.11,382.71,13043.0
0,21.66,97.31,2013.0,2.037,5.471,2279.6,0.584,Cambisols,Phyllite,Scrub,239.21,97.54,3053.91
0,29.84,251.24,2229.0,1.527,3.801,2108.2,0.759,Cambisols,Granite,Scrub,483.53,423.5,692.88
1,22.66,219.91,1610.0,1.115,4.738,2288.3,0.713,Regosols,Shale,Forest,11.57,91.48,176.29
0,6.6,233.32,485.0,-0.811,6.797,,0.819,Fluvisols,Alluvium,Forest,165.28,850.02,3837.31
0,44.0,302.74,4038.0,-1.334,6.978,1310.2,-0.075,Leptosols,Gneiss,Snow,2509.74,19.77,4101.82
0,54.33,22.27,1709.0,1.209,2.597,1706.0,0.492,Cambisols,Granite,Agriculture,505.65,661.98,1790.17
1,32.44,99.41,1975.0,1.266,2.653,2200.5,0.823,Regosols,Quartzite,Agriculture,999.5,553.73,1557.4
1,29.17,1.28,1857.0,-0.982,7.462,1954.2,0.81,Cambisols,Shale,Scrub,2526.44,153.56,9329.38
1,27.61,31.03,875.0,-1.415,7.426,2087.3,0.765,Cambisols,Shale,Forest,5998.2,56.97,1256.46
1,36.62,187.48,1197.0,-0.949,6.417,2200.5,0.834,Leptosols,Shale,Scrub,1404.27,181.61,116.45
0,44.88,281.94,2187.0,1.394,5.615,1706.0,0.299,Regosols,Quartzite,Agriculture,781.49,572.4,478.68
0,59.8,99.57,1581.0,-5.607,5.402,1743.9,0.716,Cambisols,Limestone,Forest,499.09,255.96,737.83
0,15.72,307.3,2849.0,2.956,5.463,1371.6,0.376,Leptosols,Gneiss,Grassland,3465.11,174.67,8834.43
1,33.3,42.13,1985.0,-0.927,5.144,2201.8,0.878,Leptosols,Shale,Forest,412.98,233.78,1805.56
0,17.33,10.98,1696.0,-0.19,5.668,1964.3,0.588,Leptosols,Quartzite,Forest,672.73,605.31,4479.81
1,34.7,12.27,904.0,-0.862,7.377,2279.6,0.695,,Quartzite,Scrub,834.41,92.21,3083.71
